month,day,year,hour,minute,second,lotus date,obs flow,avg DWF,gwi adjustment,adjusted DWF,gwi flow,BWF,iandi,,
3,4,2008,13,30,0,39511.5625,3.832,1.4741,0.437,1.9111,1.4863,0.4248,1.9209,,
3,4,2008,13,45,0,39511.57292,3.427,1.4768,0.4418,1.9186,1.4892,0.4294,1.5084,,
3,4,2008,14,0,0,39511.58333,3.054,1.4802,0.4467,1.9268,1.4921,0.4347,1.1272,,
3,4,2008,14,15,0,39511.59375,3.467,1.4549,0.4515,1.9064,1.495,0.4114,1.5606,,
3,4,2008,14,30,0,39511.60417,3.306,1.4532,0.4563,1.9095,1.4979,0.4116,1.3965,,
3,4,2008,14,45,0,39511.61458,3.141,1.4625,0.4612,1.9236,1.5008,0.4228,1.2174,,
3,4,2008,15,0,0,39511.625,3.108,1.4581,0.466,1.9241,1.5037,0.4204,1.1839,,
3,4,2008,15,15,0,39511.63542,3.039,1.4532,0.4708,1.924,1.5066,0.4174,1.115,,
3,4,2008,15,30,0,39511.64583,3.036,1.4351,0.4757,1.9107,1.5095,0.4012,1.1253,,
3,4,2008,15,45,0,39511.65625,3.173,1.4445,0.4805,1.925,1.5124,0.4125,1.248,,
3,4,2008,16,0,0,39511.66667,2.727,1.4593,0.4853,1.9446,1.5153,0.4293,0.7824,,
3,4,2008,16,15,0,39511.67708,3.182,1.4658,0.4902,1.956,1.5182,0.4377,1.226,,
3,4,2008,16,30,0,39511.6875,3.197,1.4641,0.495,1.9591,1.5211,0.4379,1.2379,,
3,4,2008,16,45,0,39511.69792,3.151,1.476,0.4998,1.9758,1.5241,0.4518,1.1752,,
3,4,2008,17,0,0,39511.70833,2.765,1.4899,0.5047,1.9945,1.527,0.4676,0.7705,,
3,4,2008,17,15,0,39511.71875,2.839,1.5076,0.5095,2.0171,1.5299,0.4872,0.8219,,
3,4,2008,17,30,0,39511.72917,2.732,1.4854,0.5143,1.9997,1.5328,0.467,0.7323,,
3,4,2008,17,45,0,39511.73958,2.667,1.5163,0.5192,2.0355,1.5357,0.4998,0.6315,,
3,4,2008,18,0,0,39511.75,3.025,1.5515,0.524,2.0755,1.5386,0.5369,0.9495,,
3,4,2008,18,15,0,39511.76042,2.661,1.5548,0.5288,2.0836,1.5415,0.5422,0.5774,,
3,4,2008,18,30,0,39511.77083,2.871,1.5473,0.5337,2.081,1.5444,0.5366,0.79,,
3,4,2008,18,45,0,39511.78125,2.901,1.5871,0.5385,2.1256,1.5473,0.5783,0.7754,,
3,4,2008,19,0,0,39511.79167,2.777,1.6074,0.5433,2.1508,1.5502,0.6006,0.6262,,
3,4,2008,19,15,0,39511.80208,2.805,1.5775,0.5482,2.1257,1.5531,0.5725,0.6793,,
3,4,2008,19,30,0,39511.8125,2.481,1.5901,0.553,2.1431,1.556,0.5871,0.3379,,
3,4,2008,19,45,0,39511.82292,2.615,1.6187,0.5578,2.1765,1.5589,0.6176,0.4385,,
3,4,2008,20,0,0,39511.83333,2.672,1.5887,0.5627,2.1514,1.5618,0.5896,0.5206,,
3,4,2008,20,15,0,39511.84375,2.869,1.6025,0.5675,2.17,1.5647,0.6053,0.699,,
3,4,2008,20,30,0,39511.85417,2.68,1.6284,0.5723,2.2008,1.5676,0.6331,0.4792,,
3,4,2008,20,45,0,39511.86458,2.841,1.6338,0.5772,2.211,1.5705,0.6404,0.63,,
3,4,2008,21,0,0,39511.875,2.65,1.6376,0.582,2.2196,1.5734,0.6462,0.4304,,
3,4,2008,21,15,0,39511.88542,2.896,1.6307,0.5868,2.2175,1.5764,0.6412,0.6785,,
3,4,2008,21,30,0,39511.89583,2.645,1.6368,0.5917,2.2285,1.5793,0.6492,0.4165,,
3,4,2008,21,45,0,39511.90625,2.408,1.6515,0.5965,2.248,1.5822,0.6658,0.16,,
3,4,2008,22,0,0,39511.91667,2.545,1.6345,0.6013,2.2359,1.5851,0.6508,0.3091,,
3,4,2008,22,15,0,39511.92708,2.396,1.6316,0.6062,2.2378,1.588,0.6498,0.1582,,
3,4,2008,22,30,0,39511.9375,2.255,1.6006,0.611,2.2116,1.5909,0.6207,0.0434,,
3,4,2008,22,45,0,39511.94792,2.897,1.5979,0.6158,2.2137,1.5938,0.6199,0.6833,,
3,4,2008,23,0,0,39511.95833,2.928,1.5544,0.6207,2.175,1.5967,0.5784,0.753,,
3,4,2008,23,15,0,39511.96875,2.766,1.5338,0.6255,2.1593,1.5996,0.5597,0.6067,,
3,4,2008,23,30,0,39511.97917,2.768,1.5557,0.6303,2.186,1.6025,0.5835,0.582,,
3,4,2008,23,45,0,39511.98958,2.731,1.5111,0.6352,2.1462,1.6054,0.5408,0.5848,,
3,5,2008,0,0,0,39512,2.697,1.3839,0.64,2.0239,1.6083,0.4156,0.6731,,
3,5,2008,0,15,0,39512.01042,2.65,1.3608,0.6346,1.9954,1.6112,0.3842,0.6546,,
3,5,2008,0,30,0,39512.02083,2.526,1.3314,0.6291,1.9605,1.6141,0.3464,0.5655,,
3,5,2008,0,45,0,39512.03125,2.412,1.3023,0.6237,1.926,1.617,0.309,0.486,,
3,5,2008,1,0,0,39512.04167,2.656,1.2575,0.6182,1.8757,1.6199,0.2557,0.7803,,
3,5,2008,1,15,0,39512.05208,2.41,1.2289,0.6128,1.8416,1.6228,0.2188,0.5684,,
3,5,2008,1,30,0,39512.0625,2.253,1.2175,0.6073,1.8249,1.6257,0.1991,0.4281,,
3,5,2008,1,45,0,39512.07292,2.15,1.2031,0.6019,1.805,1.6287,0.1763,0.345,,
3,5,2008,2,0,0,39512.08333,2.076,1.1831,0.5964,1.7796,1.6316,0.148,0.2964,,
3,5,2008,2,15,0,39512.09375,2.493,1.1776,0.591,1.7686,1.6345,0.1341,0.7244,,
3,5,2008,2,30,0,39512.10417,2.11,1.156,0.5855,1.7415,1.6374,0.1041,0.3685,,
3,5,2008,2,45,0,39512.11458,2.249,1.1558,0.5801,1.7359,1.6403,0.0956,0.5131,,
3,5,2008,3,0,0,39512.125,2.353,1.1572,0.5746,1.7319,1.6432,0.0887,0.6211,,
3,5,2008,3,15,0,39512.13542,2.269,1.1323,0.5692,1.7015,1.6461,0.0554,0.5675,,
3,5,2008,3,30,0,39512.14583,2.112,1.1194,0.5637,1.6832,1.649,0.0342,0.4288,,
3,5,2008,3,45,0,39512.15625,2.109,1.1204,0.5583,1.6787,1.6519,0.0268,0.4303,,
3,5,2008,4,0,0,39512.16667,2.363,1.1396,0.5528,1.6925,1.6548,0.0377,0.6705,,
3,5,2008,4,15,0,39512.17708,2.281,1.1464,0.5474,1.6938,1.6577,0.0361,0.5872,,
3,5,2008,4,30,0,39512.1875,2.007,1.1187,0.5419,1.6606,1.6606,0,0.3464,,
3,5,2008,4,45,0,39512.19792,2.203,1.1588,0.5365,1.6953,1.6568,0.0385,0.5077,,
3,5,2008,5,0,0,39512.20833,2.242,1.1699,0.531,1.7009,1.6529,0.048,0.5411,,
3,5,2008,5,15,0,39512.21875,2.202,1.2035,0.5256,1.7291,1.6491,0.0801,0.4729,,
3,5,2008,5,30,0,39512.22917,2.366,1.267,0.5201,1.7872,1.6452,0.142,0.5788,,
3,5,2008,5,45,0,39512.23958,2.161,1.3214,0.5147,1.8361,1.6414,0.1948,0.3249,,
3,5,2008,6,0,0,39512.25,2.059,1.3827,0.5093,1.8919,1.6375,0.2544,0.1671,,
3,5,2008,6,15,0,39512.26042,2.192,1.4679,0.5038,1.9717,1.6336,0.338,0.2203,,
3,5,2008,6,30,0,39512.27083,2.354,1.5848,0.4984,2.0832,1.6298,0.4534,0.2708,,
3,5,2008,6,45,0,39512.28125,2.541,1.6511,0.4929,2.144,1.6259,0.5181,0.397,,
3,5,2008,7,0,0,39512.29167,2.681,1.7021,0.4875,2.1896,1.6221,0.5675,0.4914,,
3,5,2008,7,15,0,39512.30208,2.679,1.7289,0.482,2.2109,1.6182,0.5927,0.4681,,
3,5,2008,7,30,0,39512.3125,2.486,1.7505,0.4766,2.227,1.6144,0.6127,0.259,,
3,5,2008,7,45,0,39512.32292,2.421,1.7029,0.4711,2.174,1.6105,0.5634,0.247,,
3,5,2008,8,0,0,39512.33333,2.383,1.6845,0.4657,2.1501,1.6067,0.5434,0.2329,,
3,5,2008,8,15,0,39512.34375,2.137,1.622,0.4602,2.0822,1.6028,0.4794,0.0548,,
3,5,2008,8,30,0,39512.35417,2.183,1.5745,0.4548,2.0292,1.599,0.4303,0.1538,,
3,5,2008,8,45,0,39512.36458,2.115,1.5665,0.4493,2.0158,1.5951,0.4207,0.0992,,
3,5,2008,9,0,0,39512.375,2.393,1.5646,0.4439,2.0084,1.5913,0.4172,0.3846,,
3,5,2008,9,15,0,39512.38542,2.176,1.5444,0.4384,1.9828,1.5874,0.3954,0.1932,,
3,5,2008,9,30,0,39512.39583,1.972,1.5568,0.433,1.9898,1.5836,0.4062,-0.0178,,
3,5,2008,9,45,0,39512.40625,2.118,1.5694,0.4275,1.997,1.5797,0.4172,0.121,,
3,5,2008,10,0,0,39512.41667,2.444,1.5649,0.4221,1.9869,1.5759,0.4111,0.4571,,
3,5,2008,10,15,0,39512.42708,2.143,1.5292,0.4166,1.9459,1.572,0.3739,0.1971,,
3,5,2008,10,30,0,39512.4375,2.073,1.5267,0.4112,1.9379,1.5682,0.3697,0.1351,,
3,5,2008,10,45,0,39512.44792,2.193,1.5253,0.4057,1.931,1.5643,0.3667,0.262,,
3,5,2008,11,0,0,39512.45833,2.011,1.5398,0.4003,1.94,1.5605,0.3796,0.071,,
3,5,2008,11,15,0,39512.46875,2.216,1.5451,0.3948,1.9399,1.5566,0.3833,0.2761,,
3,5,2008,11,30,0,39512.47917,1.96,1.4865,0.3894,1.8759,1.5528,0.3232,0.0841,,
3,5,2008,11,45,0,39512.48958,2.058,1.498,0.3839,1.8819,1.5489,0.333,0.1761,,
3,5,2008,12,0,0,39512.5,2.125,1.4999,0.3785,1.8784,1.545,0.3333,0.2466,,
3,5,2008,12,15,0,39512.51042,2.143,1.5019,0.3731,1.875,1.5412,0.3338,0.268,,
3,5,2008,12,30,0,39512.52083,2.19,1.4915,0.3676,1.8591,1.5373,0.3218,0.3309,,
3,5,2008,12,45,0,39512.53125,2.041,1.4829,0.3622,1.845,1.5335,0.3116,0.196,,
3,5,2008,13,0,0,39512.54167,2.011,1.4646,0.3567,1.8213,1.5296,0.2917,0.1897,,
3,5,2008,13,15,0,39512.55208,2.024,1.4613,0.3513,1.8126,1.5258,0.2868,0.2114,,
3,5,2008,13,30,0,39512.5625,1.959,1.4741,0.3458,1.8199,1.5219,0.298,0.1391,,
3,5,2008,13,45,0,39512.57292,2.241,1.4768,0.3404,1.8171,1.5181,0.2991,0.4239,,
3,5,2008,14,0,0,39512.58333,2.427,1.4802,0.3349,1.8151,1.5142,0.3008,0.6119,,
3,5,2008,14,15,0,39512.59375,2.277,1.4549,0.3295,1.7843,1.5104,0.274,0.4927,,
3,5,2008,14,30,0,39512.60417,1.998,1.4532,0.324,1.7772,1.5065,0.2707,0.2208,,
3,5,2008,14,45,0,39512.61458,2.371,1.4625,0.3186,1.781,1.5027,0.2784,0.59,,
3,5,2008,15,0,0,39512.625,2.259,1.4581,0.3131,1.7713,1.4988,0.2724,0.4877,,
3,5,2008,15,15,0,39512.63542,2.071,1.4532,0.3077,1.7609,1.495,0.2659,0.3101,,
3,5,2008,15,30,0,39512.64583,1.941,1.4351,0.3022,1.7373,1.4911,0.2462,0.2037,,
3,5,2008,15,45,0,39512.65625,2.078,1.4445,0.2968,1.7412,1.4873,0.254,0.3368,,
3,5,2008,16,0,0,39512.66667,2.255,1.4593,0.2913,1.7506,1.4834,0.2672,0.5044,,
3,5,2008,16,15,0,39512.67708,2.079,1.4658,0.2859,1.7517,1.4796,0.2721,0.3273,,
3,5,2008,16,30,0,39512.6875,2.193,1.4641,0.2804,1.7445,1.4757,0.2688,0.4485,,
3,5,2008,16,45,0,39512.69792,2.147,1.476,0.275,1.751,1.4719,0.2791,0.396,,
3,5,2008,17,0,0,39512.70833,2.157,1.4899,0.2695,1.7594,1.468,0.2914,0.3976,,
3,5,2008,17,15,0,39512.71875,2.044,1.5076,0.2641,1.7717,1.4642,0.3075,0.2723,,
3,5,2008,17,30,0,39512.72917,1.911,1.4854,0.2586,1.7441,1.4603,0.2838,0.1669,,
3,5,2008,17,45,0,39512.73958,2.288,1.5163,0.2532,1.7695,1.4564,0.313,0.5185,,
3,5,2008,18,0,0,39512.75,2.221,1.5515,0.2478,1.7992,1.4526,0.3466,0.4218,,
3,5,2008,18,15,0,39512.76042,1.991,1.5548,0.2423,1.7971,1.4487,0.3484,0.1939,,
3,5,2008,18,30,0,39512.77083,2.047,1.5473,0.2369,1.7842,1.4449,0.3393,0.2628,,
3,5,2008,18,45,0,39512.78125,2.209,1.5871,0.2314,1.8185,1.441,0.3774,0.3905,,
3,5,2008,19,0,0,39512.79167,2.244,1.6074,0.226,1.8334,1.4372,0.3962,0.4106,,
3,5,2008,19,15,0,39512.80208,2.107,1.5775,0.2205,1.798,1.4333,0.3647,0.309,,
3,5,2008,19,30,0,39512.8125,2.29,1.5901,0.2151,1.8052,1.4295,0.3757,0.4848,,
3,5,2008,19,45,0,39512.82292,2.108,1.6187,0.2096,1.8283,1.4256,0.4027,0.2797,,
3,5,2008,20,0,0,39512.83333,2.16,1.5887,0.2042,1.7929,1.4218,0.3711,0.3671,,
3,5,2008,20,15,0,39512.84375,1.936,1.6025,0.1987,1.8012,1.4179,0.3833,0.1348,,
3,5,2008,20,30,0,39512.85417,2.226,1.6284,0.1933,1.8217,1.4141,0.4076,0.4043,,
3,5,2008,20,45,0,39512.86458,2.206,1.6338,0.1878,1.8216,1.4102,0.4114,0.3844,,
3,5,2008,21,0,0,39512.875,2.09,1.6376,0.1824,1.82,1.4064,0.4136,0.27,,
3,5,2008,21,15,0,39512.88542,1.926,1.6307,0.1769,1.8076,1.4025,0.4051,0.1184,,
3,5,2008,21,30,0,39512.89583,2.192,1.6368,0.1715,1.8083,1.3987,0.4096,0.3837,,
3,5,2008,21,45,0,39512.90625,2.012,1.6515,0.166,1.8175,1.3948,0.4227,0.1945,,
3,5,2008,22,0,0,39512.91667,1.977,1.6345,0.1606,1.7951,1.391,0.4042,0.1819,,
3,5,2008,22,15,0,39512.92708,2.226,1.6316,0.1551,1.7867,1.3871,0.3996,0.4393,,
3,5,2008,22,30,0,39512.9375,2.163,1.6006,0.1497,1.7503,1.3833,0.367,0.4127,,
3,5,2008,22,45,0,39512.94792,1.956,1.5979,0.1442,1.7421,1.3794,0.3627,0.2139,,
3,5,2008,23,0,0,39512.95833,1.781,1.5544,0.1388,1.6932,1.3755,0.3176,0.0878,,
3,5,2008,23,15,0,39512.96875,1.937,1.5338,0.1333,1.6672,1.3717,0.2955,0.2698,,
3,5,2008,23,30,0,39512.97917,1.996,1.5557,0.1279,1.6836,1.3678,0.3158,0.3124,,
3,5,2008,23,45,0,39512.98958,1.695,1.5111,0.1224,1.6335,1.364,0.2695,0.0615,,
3,6,2008,0,0,0,39513,1.91,1.3839,0.117,1.5009,1.3601,0.1408,0.4091,,
3,6,2008,0,15,0,39513.01042,1.651,1.3608,0.1201,1.4809,1.3563,0.1246,0.1701,,
3,6,2008,0,30,0,39513.02083,1.557,1.3314,0.1231,1.4545,1.3524,0.1021,0.1025,,
3,6,2008,0,45,0,39513.03125,1.506,1.3023,0.1262,1.4285,1.3486,0.0799,0.0775,,
3,6,2008,1,0,0,39513.04167,1.71,1.2575,0.1292,1.3867,1.3447,0.042,0.3233,,
3,6,2008,1,15,0,39513.05208,1.519,1.2289,0.1323,1.3612,1.3409,0.0203,0.1578,,
3,6,2008,1,30,0,39513.0625,1.528,1.2175,0.1354,1.3529,1.337,0.0159,0.1751,,
3,6,2008,1,45,0,39513.07292,1.54,1.2031,0.1384,1.3415,1.3332,0.0084,0.1985,,
3,6,2008,2,0,0,39513.08333,1.675,1.1831,0.1415,1.3246,1.3293,-0.0047,0.3504,,
3,6,2008,2,15,0,39513.09375,1.576,1.1776,0.1446,1.3222,1.3255,-0.0033,0.2538,,
3,6,2008,2,30,0,39513.10417,1.508,1.156,0.1476,1.3036,1.3216,-0.018,0.2044,,
3,6,2008,2,45,0,39513.11458,1.535,1.1558,0.1507,1.3065,1.3178,-0.0113,0.2285,,
3,6,2008,3,0,0,39513.125,1.565,1.1572,0.1538,1.311,1.3139,-0.0029,0.254,,
3,6,2008,3,15,0,39513.13542,1.348,1.1323,0.1568,1.2891,1.3101,-0.021,0.0589,,
3,6,2008,3,30,0,39513.14583,1.32,1.1194,0.1599,1.2793,1.3062,-0.0269,0.0407,,
3,6,2008,3,45,0,39513.15625,1.437,1.1204,0.1629,1.2833,1.3024,-0.019,0.1537,,
3,6,2008,4,0,0,39513.16667,1.408,1.1396,0.166,1.3056,1.2985,0.0071,0.1024,,
3,6,2008,4,15,0,39513.17708,1.523,1.1464,0.1691,1.3154,1.2947,0.0208,0.2076,,
3,6,2008,4,30,0,39513.1875,1.428,1.1187,0.1721,1.2908,1.2908,0,0.1372,,
3,6,2008,4,45,0,39513.19792,1.423,1.1588,0.1752,1.334,1.293,0.0409,0.089,,
3,6,2008,5,0,0,39513.20833,1.609,1.1699,0.1783,1.3481,1.2953,0.0529,0.2609,,
3,6,2008,5,15,0,39513.21875,1.423,1.2035,0.1813,1.3849,1.2975,0.0874,0.0381,,
3,6,2008,5,30,0,39513.22917,1.617,1.267,0.1844,1.4514,1.2997,0.1517,0.1656,,
3,6,2008,5,45,0,39513.23958,1.555,1.3214,0.1874,1.5088,1.302,0.2069,0.0462,,
3,6,2008,6,0,0,39513.25,1.805,1.3827,0.1905,1.5732,1.3042,0.269,0.2318,,
3,6,2008,6,15,0,39513.26042,1.776,1.4679,0.1936,1.6614,1.3064,0.355,0.1146,,
3,6,2008,6,30,0,39513.27083,2.084,1.5848,0.1966,1.7815,1.3087,0.4728,0.3025,,
3,6,2008,6,45,0,39513.28125,1.81,1.6511,0.1997,1.8508,1.3109,0.5399,-0.0408,,
3,6,2008,7,0,0,39513.29167,1.992,1.7021,0.2027,1.9049,1.3131,0.5917,0.0871,,
3,6,2008,7,15,0,39513.30208,2.078,1.7289,0.2058,1.9347,1.3153,0.6194,0.1433,,
3,6,2008,7,30,0,39513.3125,1.84,1.7505,0.2089,1.9594,1.3176,0.6418,-0.1194,,
3,6,2008,7,45,0,39513.32292,1.752,1.7029,0.2119,1.9148,1.3198,0.595,-0.1628,,
3,6,2008,8,0,0,39513.33333,2.009,1.6845,0.215,1.8995,1.322,0.5774,0.1095,,
3,6,2008,8,15,0,39513.34375,1.778,1.622,0.2181,1.84,1.3243,0.5158,-0.062,,
3,6,2008,8,30,0,39513.35417,1.718,1.5745,0.2211,1.7956,1.3265,0.4691,-0.0776,,
3,6,2008,8,45,0,39513.36458,1.639,1.5665,0.2242,1.7907,1.3287,0.462,-0.1517,,
3,6,2008,9,0,0,39513.375,1.694,1.5646,0.2273,1.7918,1.331,0.4609,-0.0978,,
3,6,2008,9,15,0,39513.38542,1.607,1.5444,0.2303,1.7747,1.3332,0.4415,-0.1677,,
